Latitude,Longitude,Location,CID,Type
14.101636,-87.196834,"Building a shared agenda for climate risk...|July 28, 2014","4333","photo_testimonials"
14.103239,-87.196683,"Insurance and index-based disaster risk management...|July 28, 2014","4334","photo_testimonials"
13.046703,-86.903057,"Participatory video project in Somotillo,...|July 28, 2014","4335","photo_testimonials"
3.710782,-76.324424,"Senegal Colombia South-South Exchange,...|July 28, 2014","4336","photo_testimonials"
3.501298,-76.355795,"Workshop Socio-economic Scenarios for the Andean...|July 28, 2014","4337","photo_testimonials"
2.572339,-76.739673,"CCAFS site, Cauca,...|July 28, 2014","4338","photo_testimonials"
9.943679,-84.077156,"International Women&#8217;s Day: Celebrating women across the...|July 25, 2014","4339","photo_testimonials"
9.943679,-84.077156,"Workshop Socio-economic Scenarios for Central...|July 25, 2014","4340","photo_testimonials"
-0.109455,34.773917,"World Bank Filming at...|July 25, 2014","4341","photo_testimonials"
0.065917,32.474384,"Scenario-guided policy analysis workshop &#8211; Entebbe,...|July 23, 2014","4331","photo_testimonials"
0,0,"Kenyan food, farming and...|July 22, 2014","4342","photo_testimonials"
0,0,"Visit to Lower Kamula village in Kenya: Session on Female...|July 21, 2014","4343","photo_testimonials"
0,0,"Discussing changes in the climate with men and women farmers in...|July 21, 2014","4344","photo_testimonials"
0,0,"Beans in...|July 21, 2014","4345","photo_testimonials"
-0.0917016,34.76795679999998,"Photo-story: Kenya&#8217;s climate-smart farms through a...|July 18, 2014","4260","amkn_blog_posts"
41.8929163,12.482519899999943,"Developing national mitigation plans for agriculture &#8211; status and...|July 16, 2014","4263","amkn_blog_posts"
-0.0917016,34.76795679999998,"Hybrid seeds and super goats: meet Kenya’s future...|July 16, 2014","4264","amkn_blog_posts"
51.5073509,-0.12775829999998223,"All lights on real-life social learning case...|July 15, 2014","4266","amkn_blog_posts"
-4.7986675,38.29021839999996,"Improving potato yields for farmers in the Usambara...|July 14, 2014","4267","amkn_blog_posts"
17.9968,106.1609,"My|VN02|Vietnam","4187","ccafs_sites"
21.7602,105.0247,"Ma|VN01|Vietnam","4186","ccafs_sites"
